"No.","Time","Source","Destination","Protocol","Length","Info"
"120","8.532303","52.33.112.155","192.168.1.163","TCP","60","443  >  51121 [ACK] Seq=33 Ack=33 Win=120 Len=0"
"121","8.532673","192.168.1.163","52.33.112.155","TCP","54","51121  >  443 [ACK] Seq=33 Ack=33 Win=513 Len=0"
"122","8.539817","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"123","8.873047","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.223? Tell 192.168.1.1"
"124","9.133073","192.168.1.163","146.75.54.167","TCP","55","51123  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU]"
"125","9.151819","146.75.54.167","192.168.1.163","TCP","66","443  >  51123 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2"
"126","9.335491","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"127","9.335491","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"128","9.335683","192.168.1.163","157.240.231.16","TLSv1.2","83","Application Data"
"129","9.336916","192.168.1.69","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"130","9.336916","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"131","9.341890","157.240.231.16","192.168.1.163","TCP","60","443  >  50992 [ACK] Seq=1 Ack=30 Win=497 Len=0"
"132","9.436296","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"133","9.436296","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"134","9.436296","192.168.1.69","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"135","9.438037","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"136","9.444986","157.240.231.16","192.168.1.163","TLSv1.2","79","Application Data"
"137","9.490252","192.168.1.163","157.240.231.16","TCP","54","50992  >  443 [ACK] Seq=30 Ack=26 Win=512 Len=0"
"138","9.537812","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"139","9.897247","192.168.1.16","224.0.0.251","MDNS","266","Standard query response 0x0000 PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa OPT"
